_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
68bfae6bdcd5c426fed94512,,53.59,90.91,57.59,52.96,67;1;0;0,time,15,-1,0,15,0,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1757392491000
68bfae59dcd5c426fed9447c,,45.6,84.21,57.6,56.52,57;5;1;0,time,15,-1,0,15,0,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1757392473000
68bfae38dcd5c426fed9436f,,68.79,96.7,72.79,67.89,86;2;0;0,time,15,-1,0,15,0,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1757392440000
68bfae24dcd5c426fed942b9,,78.39,97.14,82.39,77.87,98;1;0;0,time,15,-1,0,15,0,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1757392420000
68bfae11dcd5c426fed94224,,69.59,91.75,73.59,67.15,87;2;0;0,time,15,-1,0,15,0,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1757392401000
68bfacefdcd5c426fed9387e,,67.2,95.51,67.2,63.88,84;0;0;0,time,15,-1,2,15,0,15.53,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1757392111000
68bfacbedcd5c426fed936fd,,58.39,91.95,67.19,65.41,73;3;0;0,time,15,-1,0,15,0,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1757392062000
68bf210ddcd5c426fed510d8,,91.3,100,91.3,63.76,46;0;0;0,words,10,-1,0,6.05,0,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1757356300000
68bf2104dcd5c426fed5106a,,85.73,100,85.73,70.21,52;0;0;0,words,10,-1,1,7.28,0,8.57,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1757356292000
68bf20eddcd5c426fed50f24,,71.16,96.61,71.16,79.51,57;0;0;0,words,10,-1,0,9.61,0,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1757356269000
68bf209fdcd5c426fed50afb,,45.71,82.61,66.36,56.35,31;3;1;2,words,10,-1,0,8.14,0,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1757356191000
68bf208fdcd5c426fed509f8,,33.6,79.71,51.2,56.71,42;5;1;0,time,15,-1,1,15,0,15,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1757356175000
68bf2069dcd5c426fed507a8,,47.99,84.27,67.99,67.75,60;3;2;2,time,15,-1,0,15,0,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1757356137000
68bf2018dcd5c426fed50340,,62.4,92.94,62.4,61,78;0;0;0,time,15,-1,0,15,0,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1757356056000
68bf2005dcd5c426fed50230,,48.79,87.95,63.98,59.95,61;2;1;2,time,15,-1,0,15,0,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1757356037000
68bf1f7bdcd5c426fed4faad,,43.2,86.11,52,47.88,54;1;1;0,time,15,-1,0,15,0,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1757355899000
68bf1f69dcd5c426fed4f9c8,,64.79,90.22,68.79,61.5,81;4;0;1,time,15,-1,2,15,0,22.23,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1757355881000
68bf1f3cdcd5c426fed4f752,,43.2,84.81,58.4,67.14,54;3;0;2,time,15,-1,1,15,0,11.22,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1757355836000
68bf1f07dcd5c426fed4f461,,52,88.46,57.6,64.07,65;1;1;0,time,15,-1,1,15,0,2.11,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1757355783000
68bf1ee5dcd5c426fed4f28f,,48.8,81.71,63.2,57.33,61;7;2;1,time,15,-1,1,15,0,1.42,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1757355749000
68bf1ed0dcd5c426fed4f16c,,54.4,87.5,60.8,66,68;5;1;0,time,15,-1,0,15,0,0,FALSE,FALSE,english,,normal,FALSE,FALSE,FALSE,,1757355728000
