_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
691b6ac6d8e248a53b1ae97b,,79.99,96.63,79.99,65.69,200;0;0;0,time,30,-1,4,30,0,30.39,false,false,english,,normal,false,false,false,,1763404486000
69169bbf73393afa8b6d0ed0,,70.8,94.87,74,65.44,177;1;0;1,time,30,-1,2,30,0,0.37,false,false,english,,normal,false,false,false,,1763089343000
6912c9773ba5c3033763358a,,92.61,94.83,124.91,92.98,43;0;1;1,words,10,-1,2,5.57,0,4.87,false,false,english,,normal,false,false,false,,1762838903000
6912c9483ba5c303376333b6,,99.95,100,99.95,73.3,46;0;0;0,words,10,-1,7,5.52,0,11.17,false,false,english,,normal,false,false,false,,1762838856000
6912c92c3ba5c30337633290,,79.28,92.86,113.84,82.97,39;1;1;1,words,10,-1,16,5.9,0,34.82,false,false,english,,normal,false,false,false,,1762838828000
6912c8ee3ba5c3033763305d,,110.94,100,110.94,71.13,48;0;0;0,words,10,-1,4,5.19,0,9.78,false,false,english,,normal,false,false,false,,1762838766000
6912c8d43ba5c30337632f6b,,104.45,96,118.69,58.08,44;1;0;0,words,10,-1,20,5.06,0,32.7,false,false,english,,normal,false,false,false,,1762838740000
690f4b283ba5c30337437e46,,91.92,94.44,105.61,64.87,47;2;0;0,words,10,-1,0,6.14,0,0,false,false,english,,normal,false,false,false,,1762609960000
690f4b1f3ba5c30337437de7,,70.5,79.59,100.41,83.79,33;5;0;1,words,10,-1,6,5.62,0,14.74,false,false,english,,normal,false,false,false,,1762609951000
690f4af83ba5c30337437c63,,77.99,92.69,80.39,56.99,195;3;0;0,time,30,-1,2,30,0,1.22,false,false,english,,normal,false,false,false,,1762609912000
690f4ac73ba5c30337437a88,,75.2,87.14,93.2,70.64,188;15;1;2,time,30,-1,1,30,0,6.42,false,false,english,,normal,false,false,false,,1762609863000
690f4a8e3ba5c3033743788e,,82.8,92.61,86,64.16,207;1;1;0,time,30,-1,3,30,0,13.63,false,false,english,,normal,false,false,false,,1762609806000
690f4a573ba5c3033743766a,,78.8,93.95,80.8,68.17,197;0;0;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1762609751000
690f4a303ba5c303374374fe,,74.79,89.72,79.19,53.19,187;5;1;0,time,30,-1,2,30,0,24.26,false,false,english,,normal,false,false,false,,1762609712000
690f0c723ba5c30337416b3f,,78.79,91.32,81.59,62.72,197;2;1;0,time,30,-1,1,30,0,5.27,false,false,english,,normal,false,false,false,,1762593906000
690c45853ba5c3033725aec0,,108.87,100,108.87,79.03,45;0;0;0,words,10,-1,14,4.96,0,31.48,false,false,english,,normal,false,false,false,,1762411909000
690c45493ba5c3033725ac96,,118.5,100,118.5,70.67,57;0;0;0,words,10,-1,8,5.77,0,20.51,false,false,english,,normal,false,false,false,,1762411849000
690c451f3ba5c3033725ab1d,,111.75,98.04,111.75,68.33,50;0;0;0,words,10,-1,2,5.37,0,3.34,false,false,english,,normal,false,false,false,,1762411807000
690c450e3ba5c3033725aa73,,109.04,98.25,109.04,59.33,55;0;0;0,words,10,-1,8,6.05,0,23.93,false,false,english,,normal,false,false,false,,1762411790000
690c44e03ba5c3033725a8be,,98.91,92.98,110.78,57.78,50;2;0;0,words,10,-1,2,6.07,0,1.71,false,false,english,,normal,false,false,false,,1762411744000
690c44d33ba5c3033725a84f,,106.22,95.56,111.28,84.32,42;0;0;2,words,10,-1,4,4.75,0,6.35,false,false,english,,normal,false,false,false,,1762411731000
690c44be3ba5c3033725a783,,117.97,100,117.97,79.71,54;0;0;0,words,10,-1,2,5.49,0,3,false,false,english,,normal,false,false,false,,1762411710000
690c44ae3ba5c3033725a707,,97.26,94.34,112.39,76.41,45;0;1;0,words,10,-1,7,5.55,0,24.47,false,false,english,,normal,false,false,false,,1762411694000
690c44693ba5c3033725a47a,,88.39,95.76,90.79,65.31,221;1;0;0,time,30,-1,7,30,0,62.3,false,false,english,,normal,false,false,false,,1762411625000
690c44003ba5c3033725a090,,78,91.44,85.2,68.29,195;7;0;0,time,30,-1,3,30,0,23.84,false,false,english,,normal,false,false,false,,1762411520000
690c431a3ba5c3033725985d,,73.59,92.49,78.39,61.47,184;0;1;1,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1762411290000
690c42783ba5c3033725927b,,82.79,91.67,93.98,71.68,207;8;3;0,time,30,-1,1,30.01,0,7.87,false,false,english,,normal,false,false,false,,1762411128000
69098d233ba5c30337097d34,,73.6,92.23,78.4,64.79,184;4;1;0,time,30,-1,4,30,0,16.14,false,false,english,,normal,false,false,false,,1762233635000
690984283ba5c3033709347d,,70.8,93.72,73.6,70.07,177;3;1;0,time,30,-1,6,30,0,46.42,false,false,english,,normal,false,false,false,,1762231336000
6909838b3ba5c30337092f0f,,74.79,96.45,77.59,69.12,187;2;1;0,time,30,-1,11,30.01,0,41.02,false,false,english,,normal,false,false,false,,1762231179000
6906649d3ba5c30337ee77a9,,86.65,93.75,97.22,77.32,41;0;0;1,words,10,-1,0,5.68,0,0,false,false,english,,normal,false,false,false,,1762026653000
690664963ba5c30337ee7770,,84.82,93.75,92.53,59.95,44;2;0;1,words,10,-1,7,6.23,0,16.16,false,false,english,,normal,false,false,false,,1762026646000
6906646a3ba5c30337ee763f,,112.52,88.89,135.03,90.47,45;4;1;0,words,10,-1,0,4.8,0,0,false,false,english,,normal,false,false,false,,1762026602000
690664623ba5c30337ee7608,,115.29,100,115.29,85.84,47;0;0;0,words,10,-1,3,4.89,0,3.78,false,false,english,,normal,false,false,false,,1762026594000
690664543ba5c30337ee75a7,,94.68,96.72,103.29,76.75,55;0;0;1,words,10,-1,6,6.97,0,14.84,false,false,english,,normal,false,false,false,,1762026580000
690664323ba5c30337ee74b2,,94.05,87.04,120.92,67.93,42;4;1;0,words,10,-1,0,5.36,0,0,false,false,english,,normal,false,false,false,,1762026546000
6906642a3ba5c30337ee7476,,100.67,95.35,110.99,89.91,39;1;0;1,words,10,-1,0,4.65,0,0,false,false,english,,normal,false,false,false,,1762026538000
690664193ba5c30337ee7403,,75.13,85.71,111.55,70.5,33;4;0;2,words,10,-1,5,5.27,0,13.93,false,false,english,,normal,false,false,false,,1762026521000
690663fd3ba5c30337ee7344,,111.23,100,111.23,77.64,60;0;0;0,words,10,-1,7,6.47,0,20.07,false,false,english,,normal,false,false,false,,1762026493000
690663d63ba5c30337ee7215,,122.89,100,122.89,69.24,54;0;0;0,words,10,-1,3,5.27,0,9.58,false,false,english,,normal,false,false,false,,1762026454000
690663c03ba5c30337ee7172,,96.16,89.58,109.9,63.93,42;3;1;0,words,10,-1,0,5.24,0,0,false,false,english,,normal,false,false,false,,1762026432000
690663b83ba5c30337ee712b,,99.14,95.92,99.14,77.22,47;0;0;0,words,10,-1,2,5.69,0,1.81,false,false,english,,normal,false,false,false,,1762026424000
690663ac3ba5c30337ee70ce,,80.14,85.45,101.13,67.79,42;4;0;1,words,10,-1,0,6.29,0,0,false,false,english,,normal,false,false,false,,1762026412000
